vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap
0.1,0.1,2624.0055228200426,0.06287625418060201,0.0,0.01137123745819398,0.8688963210702341,0.0,0.016053511705685617
0.1,0.5,2624.0055228200426,0.20757355988396187,0.0,0.00010360547036883547,0.7703066721922918,0.0,0.01947782842934107
0.1,1.0,2624.2031612210744,0.3090299823633157,0.0,0.0,0.6799118165784832,0.0,0.010017636684303352
0.1,1.5,2624.1873501489918,0.3862089766065336,0.0,0.0,0.6073535787668005,0.0,0.005551471281268262
0.1,2.0,2624.1873501489918,0.4464638730772369,0.0,0.0,0.5483585517851651,0.0,0.0043240597209757686
0.1,2.5,2801.776937294069,0.44214278714229716,0.0,6.125049000392003e-06,0.553624803998432,0.0,0.003430027440219522
0.1,3.0,3069.189132827079,0.4149225650447311,0.0,0.0,0.5816176424165515,0.0,0.002714800714687072
0.1,3.5,3315.0895676056207,0.39356237872389,0.0,0.0,0.6036713509739017,0.0,0.0021485594580258767
0.1,4.0,3543.998036402331,0.3810864097758766,0.0,0.0,0.6163985592564983,0.0,0.0018113796442729053
0.1,4.5,3759.009498753806,0.37068601805754786,0.0,0.0,0.6273239951621523,0.0,0.0016383990099288386
0.1,5.0,3962.396885108816,0.3599551157501544,0.0,0.0,0.6382148720497642,0.0,0.0016643320832015424
3.4,0.1,77.46885448991857,0.07079646017699115,0.0,0.006084070796460177,0.8478982300884956,0.0,0.022123893805309734
3.4,0.5,77.48272628082552,0.18714994763444287,0.0,0.0,0.7899913482992578,0.0,0.021037293383725696
3.4,1.0,77.48501038380994,0.28541495854969484,0.0,0.0,0.7036834593544077,0.0,0.009838753757857338
3.4,1.5,77.48573866118635,0.3554469104726868,0.0,0.0,0.6381634678219619,0.0,0.005800679300691402
3.4,2.0,77.48544070189253,0.41134474484767986,0.0,0.0,0.5838510647414199,0.0,0.004316808775011783
3.4,2.5,83.65495238145492,0.40104368387793793,0.0,0.0,0.5955266322848931,0.0,0.0030474753857757304
3.4,3.0,92.15309227309879,0.36899384305267613,0.0,5.222177543592127e-06,0.6284838451937689,0.0,0.002302980296724128
3.4,3.5,100.08668280301185,0.34559255922355236,0.0,0.0,0.6524328727806341,0.0,0.0018235081491392287
3.4,4.0,107.58253060966956,0.32990826684036256,0.0,0.0,0.6684741898713564,0.0,0.0015469793193290996
3.4,4.5,114.72628268183855,0.316855158408676,0.0,0.0,0.6815731769229938,0.0,0.0014960519351458785
3.4,5.0,121.57797380252393,0.3043155498366822,0.0,0.0,0.6943812069022403,0.0,0.0012537530106569005
6.7,0.1,41.98938190275284,0.05899459908599917,0.0,0.003739094308267553,0.8712089738263399,0.0,0.013710012463647694
6.7,0.5,41.995101716277325,0.14825379156810908,0.0,0.0,0.8347711145123139,0.0,0.015305412550438291
6.7,1.0,41.995918889919395,0.22581296228139952,0.0,0.0,0.7643092046682259,0.0,0.008643103919077752
6.7,1.5,41.995918889919395,0.2867170491228948,0.0,0.0,0.7079652661344811,0.0,0.0046733064738119666
6.7,2.0,41.99602163039758,0.3382077936660807,0.0,0.0,0.6577843807088841,0.0,0.0035500351980375473
6.7,2.5,45.75191285775587,0.3307508457550601,0.0,0.0,0.6664318950686419,0.0,0.002582487578273236
6.7,3.0,51.049949458800796,0.30003378715627327,0.0,0.0,0.6980042541101308,0.0,0.0018007018513825858
6.7,3.5,56.12754432016594,0.2800765554523375,0.0,0.0,0.7185132125309188,0.0,0.001302039613342735
6.7,4.0,61.04066806944723,0.26573327676424835,0.0,0.0,0.7331167332842076,0.0,0.0010941651966147868
6.7,4.5,65.82556221463375,0.2517016778919582,0.0,0.0,0.7472681944509026,0.0,0.000980052007139357
6.7,5.0,70.50801373796318,0.2444718463474345,0.0,0.0,0.7545366374259518,0.0,0.0009698831453058016
10.1,0.1,30.875466572862468,0.0274247491638796,0.0,0.0030100334448160534,0.9100334448160535,0.0,0.010702341137123745
10.1,0.5,30.875863497269723,0.09264884568651276,0.0,0.0,0.892880812990169,0.0,0.013172429029051143
10.1,1.0,30.875489074943285,0.15621629803417025,0.0,0.0,0.8357330709704274,0.0,0.006962707887915539
10.1,1.5,30.87573868982758,0.2106583937278312,0.0,0.0,0.784792852835049,0.0,0.004093878093407885
10.1,2.0,30.875863497269723,0.25886524822695034,0.0,0.0,0.7378252911002999,0.0,0.00294058282699629
10.1,2.5,33.99852621993338,0.25765372139069936,0.0,0.0,0.7404745999362065,0.0,0.0016821035020251442
10.1,3.0,38.48734108675605,0.23670733964631255,0.0,0.0,0.7621056713979732,0.0,0.0011017843029524881
10.1,3.5,42.87244200639893,0.220957000269142,0.0,2.863212868423916e-06,0.7782012151475414,0.0,0.000781657113079729
10.1,4.0,47.18295912515949,0.2064415525349028,0.0,0.0,0.7928085483089368,0.0,0.0006930475955850702
10.1,4.5,51.437215912391636,0.1976620834735347,0.0,0.0,0.8017651244089068,0.0,0.0005445377978583226
10.1,5.0,55.64854909188259,0.1885963123113323,0.0,0.0,0.8108682793505751,0.0,0.0005201109570041609
13.4,0.1,25.81467481475804,0.013949883750968742,0.0,0.0012916559028674762,0.9227589770085249,0.0,0.0049082924308964096
13.4,0.5,25.814826475377917,0.05358653546462443,0.0,2.2262789972839396e-05,0.9368404648470546,0.0,0.008793802039271562
13.4,1.0,25.81522292751143,0.10211837245505326,0.0,0.0,0.891898904184854,0.0,0.005273038063551174
13.4,1.5,25.81518073508863,0.1476963506124698,0.0,0.0,0.84899334548383,0.0,0.0028186326452761413
13.4,2.0,25.815054157820235,0.1979319053492007,0.0,0.0,0.7998575351820401,0.0,0.0019279846232188218
13.4,2.5,28.706165840495817,0.20231056239386164,0.0,2.4791441994223595e-06,0.7963407831616526,0.0,0.0011949475041215772
13.4,3.0,32.909610847766125,0.1877949855111356,0.0,2.3539990913563506e-06,0.8114140707941687,0.0,0.0007179697228636869
13.4,3.5,37.060007786066876,0.17521643708711523,0.0,2.2057282763336386e-06,0.8242056621044853,0.0,0.0005183461449384051
13.4,4.0,41.1734972203753,0.1657280104249398,0.0,0.0,0.8339334345449628,0.0,0.00032152081474652025
13.4,4.5,45.25984171195155,0.15572609323372383,0.0,1.9379281610030714e-06,0.8439929071829307,0.0,0.00025774444541340854
13.4,5.0,49.32589738140229,0.14762585200354555,0.0,1.910321851025461e-06,0.852114344224715,0.0,0.00024643151878228446
16.7,0.1,23.08286311210504,0.006016042780748663,0.0,0.0017825311942959,0.9206773618538324,0.0,0.00267379679144385
16.7,0.5,23.082627925341235,0.030758740163284864,0.0,0.0,0.9634359853301635,0.0,0.005233961777335471
16.7,1.0,23.08301990089694,0.06908774572177932,0.0,0.0,0.9266794775247345,0.0,0.0038367654314575813
16.7,1.5,23.08298961112168,0.11110384229578263,0.0,0.0,0.8864574701615131,0.0,0.0020570747379592075
16.7,2.0,23.08298961112168,0.1579397123961519,0.0,0.0,0.8405666868261963,0.0,0.0013246524929666095
16.7,2.5,25.87479182810932,0.16427588672233837,0.0,0.0,0.8349385020180649,0.0,0.0006879294363135296
16.7,3.0,29.960105602308655,0.15248690331339324,0.0,0.0,0.8470553484168561,0.0,0.00040688735088947924
16.7,3.5,34.016207511876516,0.14275048797819614,0.0,0.0,0.8569274913872973,0.0,0.00027524668759500956
16.7,4.0,38.0524032457879,0.1337969052386418,0.0,0.0,0.8660405653343163,0.0,0.00015415162152425794
16.7,4.5,42.074683463143046,0.12594050844971474,0.0,0.0,0.8739514093151446,0.0,0.00010190610741830141
16.7,5.0,46.08659277101284,0.11855927268570934,0.0,0.0,0.8813480522008023,0.0,8.340760213955946e-05
20.0,0.1,21.445675192700865,0.0018681113394358303,0.0,0.0005604334018307491,0.9262096020922846,0.0,0.0011208668036614981
20.0,0.5,21.44710945619372,0.021360823409652764,0.0,0.0,0.9739210522063695,0.0,0.003910226373022669
20.0,1.0,21.447127621688708,0.05444525160719455,0.0,0.0,0.9421792301852165,0.0,0.0027746978146523707
20.0,1.5,21.44710945619372,0.09120982557664428,0.0,0.0,0.906611017454442,0.0,0.0016948998647106715
20.0,2.0,21.44713214040957,0.1338784034621091,0.0,0.0,0.8643219024858797,0.0,0.001381160551543447
20.0,2.5,24.19183739976144,0.13935792499007002,0.0,1.7344940567561145e-06,0.8595025124146413,0.0,0.0009002024154564234
20.0,3.0,28.222086045420863,0.1286337803748867,0.0,0.0,0.8706807704514149,0.0,0.0005692990750525948
20.0,3.5,32.235548069632664,0.1200660533573087,0.0,0.0,0.8795267891469066,0.0,0.0003254232772999858
20.0,4.0,36.23763404648557,0.11059636947827836,0.0,0.0,0.8890897443397048,0.0,0.0002653764993415524
