vel, aj, b_max, ejection, s_coll, p_coll, stay, cap, trans
0.1,0.1,3536.0288488640326,0.04384485666104553,0.0,0.01011804384485666,0.8870151770657673,0.003372681281618887,0.0
0.1,0.5,3613.562936640925,0.1216532797858099,0.0,0.0,0.8520749665327979,0.012382864792503346,0.0015060240963855422
0.1,1.0,3686.635605734529,0.231933452717925,0.0,0.0,0.7180983189879268,0.015943619663797585,0.0016174686615446825
0.1,1.5,3783.584604487093,0.32894121771648943,0.0,0.0,0.5937244361341592,0.020976977912819914,0.0019282458805656188
0.1,2.0,3850.3054637257824,0.4487272979824287,0.0,1.736291974858492e-05,0.45407507726499285,0.031235892627704275,0.0025002604437962287
0.1,2.5,3930.1108255851323,0.6354300944152179,0.0,0.0,0.24504407204821796,0.057581089084764656,0.014475838762498694
3.4,0.1,114.83018482470355,0.03643724696356275,0.0,0.02125506072874494,0.8765182186234818,0.0020242914979757085,0.0
3.4,0.5,117.5365232421891,0.06827061484680239,0.0,0.00010281719103434094,0.914353279868394,0.005346493933785729,0.0005140859551717047
3.4,1.0,120.84966737830341,0.1574242262349966,0.0,0.0,0.8047868362004488,0.009010934216618584,0.00046301243010293125
3.4,1.5,124.26606462080422,0.2616045132119301,0.0,0.0,0.6614468826481935,0.01375119259965985,0.0011407475007259302
3.4,2.0,127.61350335304157,0.38778511997541215,0.0,0.0,0.5234682004785844,0.016882176022480298,0.001613575991745516
3.4,2.5,130.73076710087864,0.6318335697613302,0.0,0.0,0.27794889764269043,0.02595809855373886,0.011828935395814377
6.7,0.1,72.7885461419774,0.0038246934798658937,0.0,0.0,0.9947955120368913,0.000702000702000702,0.00013313806417254693
6.7,0.5,74.92314949025193,0.0178793439627539,0.0,0.0,0.9743246725045596,0.004153957454564684,0.001246637285931113
6.7,1.0,77.57262601412876,0.037822,0.0,0.0,0.939005,0.009105,0.003626
6.7,1.5,80.18369381675241,0.063098,0.0,0.0,0.841759,0.013935,0.009105
6.7,2.0,82.81356302291458,0.101266,0.0,0.0,0.745398,0.020492,0.021068
6.7,2.5,85.42112961734068,0.151044,0.0,0.0,0.642245,0.023517,0.052665
10.1,0.1,61.497123582540844,0.002190382930474669,0.0,0.0,0.9969506433713,0.0003951279011836658,0.00017179473964507207
10.1,0.5,63.530119920684,0.01127,0.0,0.0,0.984074,0.002414,0.000961
10.1,1.0,66.05755941758439,0.023727,0.0,0.0,0.961042,0.004949,0.002745
10.1,1.5,68.56062172917197,0.038549,0.0,0.0,0.879625,0.007416,0.006463
10.1,2.0,71.08916674158738,0.062719,0.0,0.0,0.808066,0.009588,0.016056
10.1,2.5,73.59596157557178,0.097149,0.0,0.0,0.707905,0.011198,0.045643
13.4,0.1,56.96573389085744,0.0016161138374820158,0.0,0.0,0.9978648902553591,0.00026935230624700263,0.00011168266356583035
13.4,0.5,58.96322583726581,0.007847,0.0,0.0,0.98899,0.001508,0.000742
13.4,1.0,61.46580697582014,0.016883,0.0,0.0,0.971378,0.002875,0.002239
13.4,1.5,63.961475632834556,0.02744,0.0,0.0,0.913482,0.00419,0.00527
13.4,2.0,66.4418149645238,0.043497,0.0,0.0,0.807434,0.005229,0.012656
13.4,2.5,68.95415070289852,0.072973,0.0,0.0,0.737544,0.005447,0.036969
16.7,0.1,54.70958001275035,0.0010808977809804378,0.0,0.0,0.9985535044401586,0.00014306000042388147,6.358222241061399e-05
16.7,0.5,56.70856143287825,0.005667,0.0,0.0,0.991359,0.00104,0.000614
16.7,1.0,59.18957181313108,0.012738,0.0,0.0,0.978703,0.001932,0.001877
16.7,1.5,61.67153731123796,0.02097,0.0,0.0,0.928684,0.002682,0.004313
16.7,2.0,64.18131665424525,0.032375,0.0,0.0,0.827302,0.002919,0.01052
16.7,2.5,66.67721667355437,0.055944,0.0,0.0,0.760342,0.002559,0.031624
20.0,0.1,53.45827349664774,0.0007562479425607446,0.0,0.0,0.9989457013977241,0.00012900700196624465,5.783072501935105e-05
