vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap
0.1,0.1,3949.9977208989253,0.03920723825937096,0.006893580353295993,0.025850926324859975,0.9086600603188281,0.0,0.0017233950883239983
0.1,0.5,3953.207905431903,0.14592505100397293,0.007802713053437846,0.03647231468556498,0.7964494076380686,0.0,0.007731128530011812
0.1,1.0,3953.299827015446,0.20908592670256876,0.006469522947147691,0.03319353762569699,0.7342372396702093,1.1914406900824476e-05,0.011235285707477482
0.1,1.5,3953.3210396885715,0.24764636473187387,0.006703153243623218,0.02555734083149227,0.6989229765013055,0.0,0.014780829483832095
0.1,2.0,3953.3210396885715,0.2732802611184208,0.006855920258932022,0.018104158451405346,0.6800518488730288,7.808565215184535e-06,0.01614420858239403
0.1,2.5,3953.3281105796136,0.2916988526638646,0.006813018289219585,0.013134726797682609,0.6647875724184937,0.0,0.018394297398614107
0.1,3.0,3953.306897906488,0.30617073860708277,0.006852964976414836,0.009653360584376994,0.6524483176793339,2.1929487924527473e-06,0.02021898786641433
0.1,3.5,3953.3281105796136,0.31679509076451856,0.007027965669582209,0.0072312097300419684,0.6430445960256872,3.56568527122385e-06,0.02137450035835137
0.1,4.0,3953.3281105796136,0.3262690834631316,0.006910781005652856,0.006110141742802831,0.6341234638807125,1.5607003174464445e-06,0.022012117277264653
0.1,4.5,3953.3281105796136,0.33828993870110724,0.0069644263952539105,0.005026690911073126,0.6222324322149497,3.893641294402112e-06,0.02299195184344447
0.1,5.0,3953.3281105796136,0.3481761120713181,0.007045392522514327,0.004316383152915492,0.6128104248157918,3.4112617119985447e-06,0.023082870917856817
3.4,0.1,118.95757384075053,0.02468265162200282,0.006346967559943582,0.02150916784203103,0.9337094499294781,0.0,0.0007052186177715092
3.4,0.5,118.9678325485766,0.11043281850924852,0.004273243391734327,0.02979061107380502,0.8429277821866797,0.0,0.007447652768451255
3.4,1.0,118.9674503956627,0.17045707014602815,0.004413160711761023,0.026448667972773728,0.7803821373028216,0.0,0.010835975843751894
3.4,1.5,118.96878793086134,0.20730035930298396,0.004482026913328077,0.02282817485725776,0.7451435889023532,5.291649248321224e-06,0.0133137895087762
3.4,2.0,118.9689790073183,0.23513908522414165,0.004446209084779178,0.01629249826293217,0.720672647428284,0.0,0.016583435731913104
3.4,2.5,118.96802362503355,0.2564176549230074,0.004599840340094834,0.011334891460118688,0.7031960835232901,9.61806657625684e-06,0.018209404545498263
3.4,3.0,118.9689790073183,0.2704983504725673,0.004404312548296974,0.00837209475123343,0.6911705700529037,5.572727813113e-06,0.01994665041906913
3.4,3.5,118.96917008377524,0.2822473686567141,0.004485288100631028,0.006713264255264617,0.6796639662298721,3.0879780383001915e-06,0.021566438619488537
3.4,4.0,118.9689790073183,0.2926425725734605,0.004498198278111811,0.005444375452358822,0.6700631341861784,6.427834064178066e-06,0.022338008939831615
3.4,4.5,118.9689790073183,0.30356681535573427,0.004499423040490501,0.0045370976353271445,0.6595023939513976,4.305667981330624e-06,0.022909382911664916
3.4,5.0,118.96917008377524,0.314781,0.004656,0.003719,0.647991,3e-06,0.023907
6.7,0.1,65.41486485363295,0.010936249666577753,0.00240064017071219,0.006935182715390771,0.9717257935449454,0.0,0.0005334755934915977
6.7,0.5,65.41586891620948,0.05471956224350205,0.0015275877792977656,0.014660282717738258,0.9199954400364797,2.2799817601459188e-05,0.00533515731874145
6.7,1.0,65.41575954925054,0.0982023074859136,0.0016887892801338404,0.015901450464811628,0.8679824492179485,1.5783077384428416e-05,0.009319907195504979
6.7,1.5,65.41631625864785,0.13208440945919783,0.001676490820491908,0.01405039358402432,0.8306497122779267,8.238284130181366e-06,0.013218326886876002
6.7,2.0,65.41595838469715,0.16118917256062842,0.0016002072443783613,0.011042239534563666,0.8017712917963068,5.39698901982584e-06,0.015570313322197545
6.7,2.5,65.41640572713551,0.18199119627136198,0.0016590219723311387,0.008341347932233484,0.7821872456906118,9.247614115558185e-06,0.01751868018051343
6.7,3.0,65.41640572713551,0.2000043119866041,0.001638554909556081,0.006413361409157222,0.7653704355825135,1.293595981228485e-05,0.0191552818242578
6.7,3.5,65.41640572713551,0.21309166137607444,0.001699112443358135,0.005060599763731527,0.7529283858546593,1.2628538430364517e-05,0.02022747441859931
6.7,4.0,65.41640572713551,0.225281,0.001625,0.004131,0.741155,1e-05,0.021254
6.7,4.5,65.41640572713551,0.238559,0.001785,0.003487,0.728086,7e-06,0.021789
6.7,5.0,65.41640572713551,0.249521,0.001683,0.002901,0.716919,6e-06,0.022701
10.1,0.1,48.910900708938165,0.004338394793926247,0.00039439952672056796,0.0035495957404851116,0.9883652139617433,0.0,0.0005915992900808519
10.1,0.5,48.91060808502638,0.02957327044566471,0.0006369097825899851,0.007092076498029023,0.9578434579037062,0.0,0.003855886251355585
10.1,1.0,48.91167673051001,0.055240614385764525,0.0008055547206107788,0.0077549670864769,0.925107457392768,0.0,0.008007454386966846
10.1,1.5,48.91173044171236,0.07842604727542593,0.0007200265272931108,0.006881306153384599,0.8981857226318865,3.158011084618907e-06,0.011454106203912776
10.1,2.0,48.91148594727852,0.10105464382180031,0.0007062075235453241,0.00549543095908258,0.8735624719698523,6.087995892632104e-06,0.013949627921984361
10.1,2.5,48.91173044171236,0.11719139722820754,0.0006805142126212305,0.0043853705824278425,0.8564457502110785,1.1912721446323511e-05,0.015580350561610362
10.1,3.0,48.91173044171236,0.13198716156729098,0.0006611769645945535,0.003585435083441693,0.8409045828843323,1.2759555457087875e-05,0.017160442130196185
10.1,3.5,48.91173044171236,0.145266,0.000653,0.002929,0.82694,1.7e-05,0.018402
10.1,4.0,48.91173044171236,0.158423,0.000716,0.002421,0.813343,1.3e-05,0.019313
10.1,4.5,48.91173044171236,0.17069,0.000697,0.002075,0.800359,6e-06,0.020248
10.1,5.0,48.91173044171236,0.183667,0.000708,0.001841,0.78648,1.6e-05,0.021249
13.4,0.1,41.524758754482775,0.0023033366390479543,0.0005438433731085447,0.000831760452989539,0.994593557055568,3.199078665344381e-05,0.0004158802264947695
13.4,0.5,41.524758754482775,0.01163163273761843,0.00045576333453028757,0.0010109659420490015,0.9817031737701295,0.0002099273540866779,0.004137778637129519
13.4,1.0,41.524758754482775,0.022271,0.000423,0.001028,0.966208,0.000573,0.007568
13.4,1.5,41.524758754482775,0.032143,0.000394,0.000939,0.951532,0.000935,0.011003
13.4,2.0,41.524758754482775,0.041382,0.000415,0.0008,0.937756,0.001411,0.013699
13.4,2.5,41.524758754482775,0.051162,0.000439,0.000654,0.923603,0.001772,0.01628
13.4,3.0,41.524758754482775,0.061247,0.000497,0.000667,0.910017,0.002061,0.018501
13.4,3.5,41.524758754482775,0.071571,0.000514,0.000578,0.896206,0.002359,0.020749
