vel, aj, b_max, ejection, s_coll, p_coll, stay, cap
20.0,0.5,4.436244450556138,0.13162,0.003625,0.004823,0.792216,0.064941
20.0,1.0,6.792802558671953,0.120007,0.001607,0.002147,0.81535,0.057729
20.0,1.5,8.909884187496798,0.110723,0.000862,0.001172,0.829796,0.050603
20.0,2.0,10.927536295025089,0.104259,0.000639,0.000774,0.844503,0.044197
20.0,2.5,12.892587327291995,0.099604,0.000442,0.000523,0.856905,0.038734
20.0,3.0,14.825907815756981,0.094965,0.000337,0.000438,0.869943,0.033191
20.0,3.5,16.738496144800347,0.091442,0.000238,0.000324,0.878777,0.028783
20.0,4.0,18.63680749719698,0.088677,0.000208,0.00027,0.885932,0.024663
20.0,4.5,20.52473898114154,0.086815,0.00017,0.000212,0.891584,0.021075
20.0,5.0,22.404973927069765,0.084103,0.000132,0.000173,0.897475,0.018034
23.4,0.1,1.5914232371263906,0.131291,0.0215,0.025533,0.667409,0.042947
23.4,0.5,3.921190744140868,0.1263,0.003381,0.004568,0.801518,0.061505
23.4,1.0,6.126433059259921,0.113357,0.001389,0.001864,0.826787,0.052089
23.4,1.5,8.153048838586,0.103651,0.000798,0.001074,0.844685,0.0436
23.4,2.0,10.10905667438382,0.096823,0.000522,0.000673,0.863036,0.036161
23.4,2.5,12.028928326110949,0.091832,0.000321,0.000462,0.877172,0.029704
23.4,3.0,13.927647879301746,0.088191,0.000288,0.000325,0.886868,0.024108
23.4,3.5,15.812831274408987,0.085458,0.000205,0.00026,0.894412,0.019552
23.4,4.0,17.688783961290884,0.082549,0.000147,0.000207,0.901494,0.015547
23.4,4.5,19.558162255149377,0.079707,0.00012,0.000163,0.907731,0.012233
23.4,5.0,21.422763253767357,0.077676,0.00012,0.000134,0.912384,0.009665
26.7,0.1,1.4045576511036277,0.129564,0.021208,0.02508,0.671718,0.042197
26.7,0.5,3.546349198287304,0.121213,0.003128,0.004087,0.810663,0.057885
26.7,1.0,5.651089452662895,0.107063,0.001218,0.001639,0.83872,0.046234
26.7,1.5,7.620678024509616,0.097201,0.000695,0.000857,0.861959,0.036313
26.7,2.0,9.539197956597363,0.09094,0.000396,0.000571,0.879512,0.028197
26.7,2.5,11.432405578225978,0.086611,0.000299,0.00039,0.891184,0.021392
26.7,3.0,13.31109058328051,0.082858,0.000203,0.000286,0.900561,0.016038
26.7,3.5,15.180653264643325,0.079633,0.000175,0.000215,0.908286,0.011664
26.7,4.0,17.044119400161385,0.076839,0.000153,0.000153,0.914438,0.008397
26.7,4.5,18.90324680923416,0.073089,0.000119,0.000123,0.920532,0.006129
26.7,5.0,20.759163819560303,0.06957,7.5e-05,0.000125,0.924953,0.005269
30.0,0.1,1.2603371076184176,0.127902,0.020786,0.024374,0.676183,0.04183
30.0,0.5,3.264161194316705,0.116753,0.003042,0.003811,0.818174,0.054182
30.0,1.0,5.300118680367045,0.101194,0.001093,0.001456,0.852117,0.040147
30.0,1.5,7.23252588556478,0.092058,0.000632,0.000772,0.876599,0.029424
30.0,2.0,9.127386996119887,0.086431,0.00038,0.000489,0.891375,0.021179
30.0,2.5,11.004136445168859,0.081694,0.000266,0.000279,0.903137,0.014573
30.0,3.0,12.870685825902621,0.078112,0.00019,0.000236,0.911915,0.009521
30.0,3.5,14.730921274019439,0.074168,0.000135,0.000179,0.918985,0.006521
30.0,4.0,16.586930048367588,0.069943,0.000116,0.000138,0.924576,0.005222
30.0,4.5,18.440073019317794,0.065604,8.4e-05,0.000128,0.930085,0.004096
30.0,5.0,20.291099510187927,0.062262,6.4e-05,0.000105,0.934291,0.003277
