vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap
10.1,1.0,34.144578671130944,0.009405266949491715,4.0022412551028574e-05,0.00010672643346940953,0.9780343659115771,0.0018210197710718003,0.0020544838442861334
10.1,1.5,34.144578671130944,0.014313,5e-05,6.1e-05,0.973705,0.002761,0.002678
10.1,2.0,34.144578671130944,0.020112,3.6e-05,5.6e-05,0.967081,0.003554,0.003267
10.1,2.5,34.144578671130944,0.026403,5.6e-05,5.8e-05,0.959966,0.004429,0.003657
10.1,3.0,34.144578671130944,0.033578,4.9e-05,5.4e-05,0.952619,0.004729,0.004399
10.1,3.5,34.144578671130944,0.040481,4e-05,5.9e-05,0.945731,0.005027,0.004946
10.1,4.0,34.144578671130944,0.04877,3.7e-05,4.4e-05,0.937376,0.005389,0.005313
10.1,4.5,34.144578671130944,0.056741,5.2e-05,4.6e-05,0.929482,0.005291,0.00582
10.1,5.0,34.144578671130944,0.065322,4e-05,4.8e-05,0.920825,0.00522,0.006152
13.4,0.1,32.123146327639226,0.00032729244983074304,3.740485140922778e-05,0.000168321831341525,0.7503319680562569,6.545848996614861e-05,8.41609156707625e-05
13.4,0.5,32.1232389090185,0.00266,3e-05,4.6e-05,0.970018,0.000758,0.000477
13.4,1.0,32.12333149039777,0.005955,2.5e-05,3.3e-05,0.981918,0.00141,0.000814
13.4,1.5,32.12333149039777,0.010088,2.8e-05,3.9e-05,0.981227,0.001869,0.00106
13.4,2.0,32.123146327639226,0.014971694483630435,2.931315611087701e-05,2.198486708315776e-05,0.9781873477089936,0.0023707015004671783,0.0012201601231152557
13.4,2.5,32.1232389090185,0.020303,2.1e-05,2.4e-05,0.973686,0.002388,0.001348
13.4,3.0,32.1232389090185,0.026373263520366046,2.358546192127173e-05,1.4151277152763037e-05,0.9677256539069318,0.00248590768650204,0.001500035378192882
13.4,3.5,32.1231253996273,0.03206115788167089,2.190468541220967e-05,1.4603123608139782e-05,0.9629591769679534,0.0019933263725110803,0.0015917404732872361
13.4,4.0,32.12333149039777,0.038152,2e-05,2.7e-05,0.956993,0.002212,0.00136
13.4,4.5,32.12333149039777,0.044984,3.1e-05,2.9e-05,0.950724,0.002091,0.001185
13.4,5.0,32.12333149039777,0.051504,3.6e-05,2.1e-05,0.944476,0.002061,0.001114
16.7,0.1,31.13695472473984,0.00029692793787353914,1.5227073737104572e-05,0.00022079256918801628,0.7530929993528493,5.3294758079866e-05,5.3294758079866e-05
