vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap,trans
0.1,0.1,2292.009694126334,0.14874696847210994,0.017380759902991108,0.04648342764753436,0.5666936135812449,0.0,0.0012126111560226355,0.002021018593371059
0.1,0.5,2346.54659456942,0.29094216842178916,0.013364587342126439,0.06049050134695448,0.5992373088898996,0.00013994332295420354,0.005247874610782633,0.002833852289822622
0.1,1.0,2398.356597364336,0.34834303060966354,0.013243106501391348,0.06335694409309385,0.5269668606121932,0.0002023779408044523,0.0074373893245636225,0.004427017455097395
0.1,1.5,2456.4041869844104,0.3790438375432222,0.012622340737267772,0.08537478755201312,0.44682207114809824,0.00021244798687217956,0.008490593682236418,0.005692140889644259
0.1,2.0,2502.565952724126,0.4530414001954391,0.013298567102373328,0.06842787619609703,0.3733951256325164,0.0001644784581595828,0.009752605048521145,0.007362829803496619
0.1,2.5,2561.014523932972,0.5940111132559358,0.012802305380139536,0.04102666629898243,0.24842125582549707,0.0002619750158563825,0.01081336348344042,0.017859112594104182
3.4,0.1,76.61578373782405,0.073890462700661,0.008026440037771483,0.023371104815864022,0.6683191690273843,0.0,0.00141643059490085,0.0009442870632672333
3.4,0.5,78.57080671495724,0.18216450216450217,0.00551948051948052,0.04458874458874459,0.7177489177489178,8.658008658008658e-05,0.00393939393939394,0.002619047619047619
3.4,1.0,80.77369074435776,0.23548184247759787,0.005942461877063355,0.058858670020437036,0.6455745951894356,0.00013362678824084263,0.005722370696431379,0.0039223392548341455
3.4,1.5,83.11705342566293,0.28722513371873143,0.0057449529057935775,0.06083526932843482,0.5595250958992922,0.00020710645271669638,0.006861526824787941,0.005704432078088137
3.4,2.0,85.33843498649614,0.3556501697987758,0.005354848135195008,0.06259149604796703,0.4645062418566654,0.0001431139813415147,0.00791897363423048,0.008643488164771897
3.4,2.5,87.64101059511623,0.5143795573284669,0.005365837902437842,0.03531803389885254,0.3204644740348356,0.000224081266806095,0.008369738127730359,0.023667826775087008
6.7,0.1,50.401522270373405,0.0054618995600956574,0.0002066664698414573,0.000501904283900682,0.7481916683888873,0.0,0.0004723805024947595,0.0002066664698414573
6.7,0.5,51.94820064794302,0.02375511505553489,0.000305574746240102,0.0011425838337673381,0.9384094170165276,3.720040389009938e-05,0.0020194504968911093,0.001634160599457937
6.7,1.0,53.860693253212915,0.043301,0.000299,0.001486,0.908674,8.6e-05,0.004036,0.004473
6.7,1.5,55.76055908694576,0.067584,0.000299,0.008232,0.794253,0.00011,0.005508,0.009034
6.7,2.0,57.66200244098676,0.095902,0.000285,0.014917,0.716825,0.000154,0.00702,0.019441
6.7,2.5,59.551436432044994,0.12969,0.000273,0.012074,0.626821,0.000167,0.008166,0.046122
10.1,0.1,43.60315702941909,0.0023740220061518134,0.00010321834809355711,0.0003715860531368056,0.753844883466485,2.0643669618711424e-05,8.25746784748457e-05,0.00010321834809355711
10.1,0.5,45.10545681499983,0.00977383239284428,0.00010317865289950774,0.00041271461159803096,0.9564679883539441,0.00016133389362468482,0.0009567475087045264,0.0009586234842117902
10.1,1.0,46.94829007483911,0.020502,9.1e-05,0.000608,0.938931,0.000414,0.001739,0.002964
10.1,1.5,48.80334550970498,0.032468,9.1e-05,0.000878,0.870857,0.000607,0.002404,0.006587
10.1,2.0,50.64899303448829,0.053957,0.000101,0.009754,0.755307,0.000762,0.002804,0.0142
10.1,2.5,52.4985456035288,0.080538,9.1e-05,0.008029,0.685694,0.000863,0.003134,0.037179
13.4,0.1,40.92688541885781,0.0011443284222571878,1.5893450309127608e-05,0.00027018865525516933,0.7503933628951509,0.0,4.7680350927382826e-05,9.536070185476565e-05
13.4,0.5,42.39938647914047,0.0056286218117481985,6.56356521193752e-05,0.00019690695635812561,0.9617023262733682,0.00028587972923105646,0.000411316753281418,0.0007030307627008633
13.4,1.0,44.25001879806122,0.012431,5.5e-05,0.000314,0.948533,0.00052,0.000717,0.002262
13.4,1.5,46.09185304143242,0.020709,5.9e-05,0.00043,0.891559,0.00067,0.000789,0.004996
13.4,2.0,47.928335013734326,0.03508,5.8e-05,0.002883,0.78634,0.000777,0.000896,0.010704
13.4,2.5,49.76145126581118,0.055657,4.1e-05,0.005912,0.718271,0.000858,0.000939,0.030408
16.7,0.1,39.628943643864574,0.0006061778551621848,3.869220352099052e-05,0.00018056361643128908,0.7515702585928935,0.0,7.738440704198104e-05,2.5794802347327013e-05
