vel, aj, b_max, ejection, s_coll, p_coll, stay, cap
20.0,0.5,4.436244450556138,0.135,0.003322,0.003681,0.753755,0.062388
20.0,1.0,6.792802558671953,0.122053,0.001458,0.001639,0.800732,0.056772
20.0,1.5,8.909884187496798,0.111882,0.000775,0.000901,0.821128,0.050105
20.0,2.0,10.927536295025089,0.104707,0.000574,0.000618,0.838768,0.043866
20.0,2.5,12.892587327291995,0.099666,0.000399,0.000406,0.852596,0.038559
20.0,3.0,14.825907815756981,0.094879,0.000302,0.000341,0.865795,0.033104
20.0,3.5,16.738496144800347,0.091129,0.000219,0.000263,0.876726,0.02878
20.0,4.0,18.63680749719698,0.088352,0.000187,0.000217,0.88426,0.024706
20.0,4.5,20.52473898114154,0.086358,0.000162,0.000169,0.89071,0.021146
20.0,5.0,22.404973927069765,0.083573,0.00012,0.000141,0.896939,0.018201
23.4,0.1,1.5914232371263906,0.142377,0.019423,0.019486,0.458433,0.038676
23.4,0.5,3.921190744140868,0.129559,0.003097,0.0034,0.763477,0.059148
23.4,1.0,6.126433059259921,0.114873,0.001242,0.001446,0.811892,0.051326
23.4,1.5,8.153048838586,0.104162,0.00071,0.000835,0.836261,0.043224
23.4,2.0,10.10905667438382,0.096857,0.000472,0.00054,0.85733,0.035997
23.4,2.5,12.028928326110949,0.091521,0.000298,0.000365,0.873946,0.029655
23.4,3.0,13.927647879301746,0.087812,0.000263,0.000266,0.884487,0.024208
23.4,3.5,15.812831274408987,0.084994,0.000195,0.000198,0.893234,0.019641
23.4,4.0,17.688783961290884,0.081995,0.000137,0.000169,0.90083,0.015666
23.4,4.5,19.558162255149377,0.079174,0.000107,0.000133,0.907238,0.012388
23.4,5.0,21.422763253767357,0.076989,0.000108,0.000105,0.912205,0.009809
26.7,0.1,1.4045576511036277,0.140596,0.019075,0.019144,0.460628,0.037829
26.7,0.5,3.546349198287304,0.124114,0.002848,0.003093,0.771622,0.055699
26.7,1.0,5.651089452662895,0.107994,0.001095,0.001273,0.824132,0.045634
26.7,1.5,7.620678024509616,0.097293,0.000632,0.00065,0.853626,0.036152
26.7,2.0,9.539197956597363,0.090814,0.00036,0.00046,0.87492,0.028114
26.7,2.5,11.432405578225978,0.086124,0.000269,0.00031,0.888699,0.021471
26.7,3.0,13.31109058328051,0.082445,0.000182,0.000222,0.899098,0.016124
26.7,3.5,15.180653264643325,0.079152,0.00016,0.000185,0.907175,0.011779
26.7,4.0,17.044119400161385,0.076276,0.000142,0.000131,0.913852,0.008543
26.7,4.5,18.90324680923416,0.072501,0.000112,0.0001,0.920196,0.006229
26.7,5.0,20.759163819560303,0.068954,6.9e-05,0.000103,0.924733,0.005344
