vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap
0.1,0.1,3949.9977208989253,0.04593110334498253,0.006989515726410384,0.020968547179231155,0.5791313030454318,0.0,0.0014977533699450823
0.1,0.5,3953.207905431903,0.15431190346045495,0.007232056510953202,0.02817138292057352,0.7599125425724257,0.0002102342008998024,0.006979775469873439
0.1,1.0,3953.299827015446,0.21793316883442768,0.005506531164178272,0.024883944627995484,0.7220944335243193,0.0002648711192895878,0.010748191209066957
0.1,1.5,3953.3210396885715,0.2528292181069959,0.005584950029394474,0.020443856554967665,0.6932172251616696,0.00033068783068783067,0.014638447971781305
0.1,2.0,3953.3210396885715,0.2767013488170802,0.0059686959030582805,0.01415536641661858,0.6766851197345644,0.0002299120023081362,0.016035235141373342
0.1,2.5,3953.3281105796136,0.2944485482129666,0.005752332184649529,0.010311414752843577,0.6623504677739043,0.00033424359004355196,0.018326576042087952
0.1,3.0,3953.306897906488,0.3070238028017186,0.005900651407275845,0.0075715187696666995,0.651430375393334,0.0003208270665113008,0.020201838724083588
0.1,3.5,3953.306897906488,0.31763560005445995,0.0059989736392865745,0.005732957699276311,0.6417372726035001,0.0003707466250536745,0.021233099085701118
0.1,4.0,3953.3281105796136,0.32692396239099003,0.0058955162030002485,0.004891749776684992,0.6329861590739564,0.00032231032037645846,0.021961304343822232
0.1,4.5,3953.3281105796136,0.33855170621261815,0.006012647292580946,0.00408505446989695,0.6212047229780182,0.0003695930119877343,0.02297035593609947
0.1,5.0,3953.3281105796136,0.34843753528114,0.005967742578176365,0.003444103384200159,0.611967893996528,0.0003719047233228093,0.023149740795690155
3.4,0.1,118.95757384075053,0.03417044051049815,0.0032935364347468094,0.015232606010703994,0.5948950185261425,0.0,0.0
3.4,0.5,118.9678325485766,0.11936080008696598,0.003587346450701163,0.02257491756350328,0.8041091422980758,0.0002898865818748415,0.006594919737652643
3.4,1.0,118.9674503956627,0.1764063545739547,0.003874740216280954,0.020324773679946458,0.767257271008724,0.00019960782932356428,0.01033264057674921
3.4,1.5,118.96878793086134,0.2120727962653219,0.003832039343934893,0.017918216541428465,0.7383915420525751,0.0002184387248171356,0.013012706892677934
3.4,2.0,118.9689790073183,0.23739187433898074,0.0037640397476163094,0.0129207902874906,0.7174798627894913,0.00029356292903417796,0.01641137415600658
3.4,2.5,118.96802362503355,0.2578729525286079,0.003929130134245279,0.009229537879445108,0.7005521491278395,0.0002854496251374776,0.0181176556190199
3.4,3.0,118.9689790073183,0.2711230004440449,0.003786295257383601,0.006602189899602526,0.6897685551211377,0.0003140805562474955,0.01988238224686732
3.4,3.5,118.96917008377524,0.28244118150929387,0.003834979870370899,0.005292950346914884,0.6786004911058447,0.00033906290152185706,0.02147517345744225
3.4,4.0,118.9689790073183,0.29310150094782245,0.0037867109492571577,0.004377382911112265,0.668631503115146,0.00037393961409431826,0.02217232968958433
3.4,4.5,118.9689790073183,0.3038191486053671,0.0038222581547933706,0.003609564974035262,0.6582717124288691,0.0003507571752853012,0.022896234335644763
3.4,5.0,118.96917008377524,0.3149528898269369,0.0039636044395081425,0.002994170970552046,0.6468335794579534,0.00032879386884175296,0.02380196440213185
6.7,0.1,65.41486485363295,0.012195121951219513,0.0025015634771732333,0.0075046904315197,0.6078799249530957,0.0,0.0006253908692933083
6.7,0.5,65.41586891620948,0.05873921698739217,0.0011944260119442602,0.011333775713337758,0.8782216323822163,0.00018579960185799603,0.004724618447246184
6.7,1.0,65.41575954925054,0.10232210011318413,0.0014786958267917778,0.01216729343897185,0.8537003906677864,0.00010953302420679835,0.009182518529336594
6.7,1.5,65.41631625864785,0.13528341687148027,0.0013837013527374063,0.011224430553674065,0.822499177520175,0.00017417219824666653,0.012762951638186287
6.7,2.0,65.41595838469715,0.1630264319138534,0.0014127073822690938,0.008796881250039683,0.7969733141162801,0.00021904900983498308,0.01525406510517527
6.7,2.5,65.41622679016017,0.18319020264572966,0.001400353930917296,0.006651681171857156,0.7788572172661932,0.0002903172783609028,0.017147931596125973
6.7,3.0,65.41640572713551,0.2004548250163814,0.001404360220072296,0.005154906965325039,0.763144091045444,0.0002547288227338771,0.01883149855960906
6.7,3.5,65.41640572713551,0.21327184380809525,0.0014640996385628686,0.004054532059925692,0.750967422785699,0.0002632985726025867,0.019892340139202498
6.7,4.0,65.41640572713551,0.22544164304774328,0.001362781059584688,0.0033733314057153873,0.7391955333057639,0.0003182811027319502,0.020963965872196687
6.7,4.5,65.41640572713551,0.2384746482314443,0.0015130153364281223,0.002843787925516788,0.7265527682873587,0.00029439213031758304,0.021438556156800858
6.7,5.0,65.41640572713551,0.249601,0.001422,0.002368,0.715385,0.000345,0.022374
10.1,0.1,48.910900708938165,0.0055274067250115156,0.00023030861354214648,0.0036849378166743437,0.6229847996315062,0.0,0.0006909258406264394
10.1,0.5,48.91060808502638,0.031702733830393404,0.0005657594310076579,0.005576771534218343,0.9139237437109777,4.0411387929118424e-05,0.0037178476894788952
10.1,1.0,48.91146188570061,0.05677575380437857,0.000685919556485829,0.006102562652033716,0.9103425354981048,8.485602760649431e-05,0.007757255190360355
10.1,1.5,48.91156930810531,0.08007596659811621,0.0006001214880085481,0.005514530990420012,0.8908766896713237,0.00016466748146576015,0.010970513542985531
10.1,2.0,48.91148594727852,0.10193865284681561,0.0006116366219779858,0.004620208944479862,0.8687286662322479,0.0001976056778698108,0.013540693831174178
10.1,2.5,48.91173044171236,0.11785933514892145,0.0005844464617645787,0.0036813210564993733,0.8531241084165478,0.00022132883759131975,0.015231919768296373
10.1,3.0,48.91167673051001,0.13253864834850432,0.0005328936395822006,0.002909897584079904,0.838439665727888,0.0002467853496283982,0.01659970467115852
10.1,3.5,48.91173044171236,0.14587067012200472,0.0005455796942850527,0.0024032996998254357,0.8245696951626325,0.0002653885722200547,0.01795549296191621
10.1,4.0,48.91173044171236,0.158832,0.000608,0.001983,0.811306,0.000276,0.018925
10.1,4.5,48.91173044171236,0.171166,0.000569,0.001704,0.798439,0.000306,0.019809
10.1,5.0,48.91173044171236,0.184251,0.000598,0.001494,0.78458,0.000328,0.020821
13.4,0.1,41.524758754482775,0.0027688393324852203,0.00041158422509915437,0.001421836413978897,0.6323430367432463,0.0,0.00033675072962658086
13.4,0.5,41.52460103146557,0.012022200803420683,0.0003913603167107621,0.000776251867856057,0.9365866911617257,0.000249047474270485,0.003978290822762292
13.4,1.0,41.52460103146557,0.022794502475397764,0.0003618902121295063,0.0007913485334857242,0.9507691884841037,0.0005462709847651092,0.007340874239715619
13.4,1.5,41.524758754482775,0.032571,0.000336,0.000717,0.943996,0.000894,0.010653
13.4,2.0,41.524758754482775,0.041638,0.000353,0.000619,0.932357,0.001339,0.013463
13.4,2.5,41.524758754482775,0.051469,0.000371,0.000494,0.91899,0.001652,0.016
13.4,3.0,41.524758754482775,0.061514,0.000424,0.000527,0.905935,0.00192,0.018107
13.4,3.5,41.524758754482775,0.071788,0.000444,0.000438,0.892227,0.002165,0.020413
13.4,4.0,41.524758754482775,0.082176,0.000394,0.000474,0.879157,0.002284,0.022349
13.4,4.5,41.524758754482775,0.092724,0.000395,0.000413,0.866228,0.002464,0.024208
13.4,5.0,41.524758754482775,0.104059,0.00038,0.000413,0.85241,0.00259,0.026163
16.7,0.1,37.59213587109683,0.0015914794637938421,0.00021423762012609415,0.0010711881006304708,0.6320009793719777,3.060537430372773e-05,0.00027544836873354963
16.7,0.5,37.592715389482386,0.008083140877598153,0.0002480145501869443,0.00040269029116374826,0.9434873512579405,0.00048002816165215024,0.0024134749238622
16.7,1.0,37.59281373871087,0.015477,0.000267,0.000445,0.962094,0.001298,0.004574
16.7,1.5,37.59265849696313,0.022785,0.000282,0.000374,0.958568,0.002254,0.006266
16.7,2.0,37.59281373871087,0.030136,0.000248,0.000351,0.949174,0.003192,0.007877
16.7,2.5,37.59281373871087,0.037963,0.000262,0.000292,0.939506,0.004081,0.009332
16.7,3.0,37.59281373871087,0.04625,0.000255,0.000278,0.929358,0.004706,0.010618
