vel, aj, b_max, ejection, s_coll, p_coll, stay, cap, trans
0.1,0.1,3963.7075089237555,0.04558877814691768,0.0068290882244370615,0.02676264304171281,0.5837947582133629,0.0016611295681063123,0.0007382798080472499
0.1,0.5,4124.681783352424,0.20907278650264988,0.005542859921233044,0.08208943128960633,0.6507512033840619,0.0044083564285830054,0.003662825561984409
0.1,1.0,4148.086012020687,0.2904735086427241,0.005761816055105489,0.09659164753281636,0.5526632153532903,0.006108391456916345,0.005258198674349088
0.1,1.5,4296.281273972179,0.34477008029418205,0.005332949408966434,0.116341080807081,0.45203494911502434,0.007921439476423145,0.006625694738136587
0.1,2.0,4349.82499413249,0.42327263885315974,0.0053670036754989055,0.11356516345926822,0.36380215032543844,0.0110458785429096,0.00874120329420554
0.1,2.5,4457.824729341686,0.5688810927481547,0.005415272835985858,0.09317734508945053,0.23208328331774356,0.019588747285002796,0.016565163330154984
3.4,0.1,119.4854969289691,0.03598109467906693,0.003506632108553133,0.016618386949230065,0.592925750876658,0.0007623113279463333,0.0006098490623570666
3.4,0.5,122.02574067015733,0.17022427495526984,0.0037171111943300186,0.07123538467939916,0.6952246217007171,0.0037725904658871827,0.0034397148365441963
3.4,1.0,124.95348670237277,0.24229140699036922,0.0040194389591473745,0.08917925950823728,0.6073601015830334,0.0059894775663020695,0.004733694662689243
3.4,1.5,127.99690855669117,0.30656770774990033,0.0037461281759377696,0.09737328161349232,0.5044638321484488,0.007609485675879155,0.006684676564295074
3.4,2.0,130.9900375353068,0.3817835281706554,0.0036846334073428934,0.10946412580807399,0.4032381226923124,0.009969823726401787,0.008727812465499687
3.4,2.5,133.91438570284606,0.538103,0.003518,0.087995,0.263743,0.015116,0.01898
6.7,0.1,65.75285436824478,0.01611639619473979,0.0020145495243424735,0.00906547285954113,0.6087297146054841,0.0006715165081141578,0.0001119194180190263
6.7,0.5,67.27391943835865,0.08723865938563745,0.0013780479025905243,0.034214666954616973,0.814878803772149,0.0025709848928927694,0.00200536821645636
6.7,1.0,69.1961813146012,0.1580018825383622,0.0014812220446701544,0.07594364059569934,0.7062619938853987,0.004669862603886201,0.003954789892666127
6.7,1.5,71.16016065329983,0.21549461542988288,0.0013986151160281684,0.08492712685615646,0.6058769297161576,0.0067380686164891426,0.005955393397281234
6.7,2.0,73.03368678899926,0.3001230012300123,0.0013316555759699856,0.09879726412326885,0.48145074546979777,0.008408086172911939,0.009414225941422594
6.7,2.5,74.84315695793532,0.465876,0.00132,0.07945,0.329664,0.011135,0.022914
10.1,0.1,49.213188634313056,0.008429651516468236,0.0006083253671678109,0.0065177717910836885,0.6273572607977753,0.00026071087164334755,8.690362388111584e-05
10.1,0.5,50.50466028384642,0.04746691008671839,0.0006009432527004412,0.019869161722196865,0.8770652670013692,0.0015289821999087175,0.000730260155180283
10.1,1.0,52.15759518132532,0.1083320607017008,0.0005458175668414414,0.06692062737911414,0.7635704953082314,0.003068456269549036,0.0018976351676197264
10.1,1.5,53.7904467451397,0.14885855477221333,0.0005348230060453549,0.07833765880456238,0.6825902745682386,0.0044857120333630625,0.003674203136906961
10.1,2.0,55.42702003830418,0.22593459332408455,0.0005768525368191757,0.08536392940062665,0.5633318510716342,0.00613430930361706,0.008476556016172363
10.1,2.5,57.02602384927072,0.382685,0.000514,0.072603,0.404929,0.007326,0.026776
13.4,0.1,41.81527619781498,0.0028135438178265026,0.0004435142964061482,0.0018017768291499771,0.6313980402212027,0.00016631786115230558,0.000207897326440382
13.4,0.5,43.04252476168325,0.01593967220708907,0.0003631152148894127,0.0017709406493609896,0.9291901203708842,0.001587573497656037,0.0011677592292789088
13.4,1.0,44.58143513290308,0.03218,0.000396,0.002474,0.916828,0.003386,0.003801
13.4,1.5,46.12234474421103,0.052367,0.000376,0.006565,0.828657,0.005042,0.008256
13.4,2.0,47.65678239703858,0.082596,0.000342,0.029901,0.720163,0.006615,0.017096
13.4,2.5,49.18518779003458,0.113103,0.000313,0.028454,0.635159,0.007927,0.041748
16.7,0.1,37.85060738523386,0.001878671949719907,0.0002049460308785353,0.0011727467322493967,0.6341144054287926,0.00022771781208726145,7.970123423054151e-05
16.7,0.5,39.08036812543968,0.011316200883215678,0.00025283660509944233,0.0010999903297553427,0.9351892144537923,0.0012007220449344034,0.0010476098378622313
16.7,1.0,40.579111500413944,0.023512,0.00029,0.001734,0.928489,0.002519,0.003237
16.7,1.5,42.06918189794549,0.036866,0.000248,0.002895,0.862332,0.003594,0.007062
16.7,2.0,43.56116502756457,0.062959,0.000269,0.024652,0.732794,0.004669,0.014873
16.7,2.5,45.037534019071856,0.08996,0.000213,0.022511,0.663404,0.005709,0.037768
20.0,0.1,35.53558961922221,0.0016149620919077828,0.00018373820207334056,0.0014505647532105834,0.631720950023209,9.670431688070556e-05,5.8022590128423336e-05
20.0,0.5,36.72503514776713,0.008406,0.000203,0.000835,0.938752,0.000891,0.000892
20.0,1.0,38.203522310614694,0.017547,0.000177,0.001135,0.93708,0.001931,0.002688
20.0,1.5,39.679270697081236,0.028067,0.000159,0.001756,0.878183,0.002851,0.005914
20.0,2.0,41.147127329379266,0.049188,0.000153,0.016949,0.756681,0.003488,0.012393
20.0,2.5,42.601988928883834,0.072187,0.000141,0.017943,0.691609,0.004083,0.034162
23.4,0.1,34.05687274175119,0.0011308081452195723,0.00013603707010160268,0.001215831314033074,0.6325298643880457,7.652085193215151e-05,5.101390128810101e-05
23.4,0.5,35.23093460820323,0.006453,0.000137,0.000544,0.941309,0.000747,0.000732
