vel, aj, b_max, ejection, s_coll, p_coll, stay, s_cap, b_cap,trans
0.1,0.1,5234.587709135946,0.12379842703175066,0.030002912904165454,0.06233614914069327,0.49606757937663853,0.0,0.0014564520827264782,0.0014564520827264782
0.1,0.5,5270.267425332871,0.2841921689481354,0.036312382044482665,0.07854941589622304,0.5548149740796483,0.00021500752526338422,0.005351298406555341,0.0029623259036288493
0.1,1.0,5460.518139839637,0.3301021897810219,0.03664650677789364,0.07855683003128258,0.504725755995829,0.0002502606882168926,0.006932221063607925,0.003845672575599583
0.1,1.5,5503.908449770654,0.3569425594998841,0.03367837670413437,0.11277669278529917,0.42243617328144284,0.0002695405043717578,0.007462016068397085,0.005007778844380553
0.1,2.0,5701.931955618352,0.4196112805342001,0.034233609077019535,0.09883250245004048,0.35768156169536713,0.00038044106815677826,0.008597968140343188,0.006644022814289975
0.1,2.5,5727.944713389356,0.5497588166838138,0.03471226661719316,0.07970855610463645,0.23735685011215868,0.0003605100268168862,0.00964311615590899,0.013543370831998112
3.4,0.1,154.59898726740195,0.11846946284032377,0.025999509443218053,0.047829286239882265,0.5008584743684081,0.0002452783909737552,0.0019622271277900416,0.0012263919548687761
3.4,0.5,157.6999678470476,0.25831625577014633,0.031174315344966775,0.07391997350390196,0.587944275393819,0.00020700076590283385,0.004947318305077729,0.0024840091908340063
3.4,1.0,161.7089100785445,0.3047432797610582,0.030251742284170102,0.07869435357701607,0.5347247902147632,0.0001351159152325416,0.006371782107808277,0.0037619115346323425
3.4,1.5,165.67401087031706,0.33510037549645966,0.02805596189190203,0.10091311070269099,0.4569262634976599,0.0002417180317484132,0.007368232416055078,0.004884371262226557
3.4,2.0,169.35026029014418,0.3992954346309973,0.02822348874815748,0.09867747102417442,0.38052916486778543,0.00027334479508081555,0.00826420945875176,0.006542392712167931
3.4,2.5,173.16331720695436,0.536306985780526,0.028557931880781602,0.07442714539665175,0.25646198461732445,0.0003480725482639882,0.009110266186705405,0.015382675576850333
6.7,0.1,84.69806706382184,0.07461863628009557,0.016908656496967468,0.03804447711817681,0.5442014335600074,0.0,0.0023892666789193163,0.0005513692335967653
6.7,0.5,86.73938135902954,0.20302537410540014,0.020266753415744958,0.06158100195185426,0.6564085881587508,6.506180871828237e-05,0.00385491216655823,0.0021470396877033182
6.7,1.0,89.17427101858163,0.2547577539477446,0.019322507049043404,0.07327641779666243,0.5961724955575611,0.00015135123014916503,0.005751346745668272,0.003441839085614346
6.7,1.5,91.57394630379498,0.2983630736729561,0.019232193635857157,0.07830388282918063,0.5191565143742292,0.00020610522315721,0.006634011870372696,0.005155850973042081
6.7,2.0,94.05189178634373,0.35448415683723417,0.01812500124717888,0.09426876405570599,0.42819542195553656,0.0002554222349046457,0.007433186132967228,0.007421213215706073
6.7,2.5,96.41327968908975,0.5007297804690128,0.018450695054855616,0.06872551572961769,0.2957984720730106,0.00022246096081431562,0.008363989538908965,0.018420852730843942
10.1,0.1,63.02715609686955,0.04697210579563521,0.012718600953895072,0.0213903743315508,0.5743604567133979,0.0,0.0013007660066483597,0.0010117068940598353
10.1,0.5,64.80423313376814,0.13484685141733782,0.01047625087196398,0.03511953833470734,0.7596169700044391,0.0,0.003399074132792187,0.0019912486524193036
10.1,1.0,66.85089042802743,0.19754743236974956,0.010186757215619695,0.06878538006692096,0.6680792423430443,0.00011708916339792752,0.0047601248350619,0.0030848491125992443
10.1,1.5,68.96745260713016,0.23908055681090182,0.010359503578150684,0.07551859595452942,0.5864293482849211,0.00015643545671704053,0.005902334612958815,0.0049090936179299865
10.1,2.0,71.02744133118964,0.302955009763027,0.009612440455574462,0.08821191875689142,0.48238723160041697,0.0001572792694210617,0.006630827071443271,0.008171829275026228
10.1,2.5,73.06273953875314,0.4531742485806431,0.00977945505120328,0.06429650784429591,0.3421035418234953,0.0001685157201885159,0.007278326993668465,0.02235604932632515
13.4,0.1,53.4008265000054,0.0228240302743614,0.0041390728476821195,0.009815515610217597,0.6096263008514664,0.00011825922421948912,0.0013008514664143804,0.0008278145695364238
13.4,0.5,55.01124076690292,0.02962723550958845,0.0013456362937331796,0.0029743420746880956,0.9102585227152701,3.591180061768297e-05,0.0025666375147344006,0.0020469726352079294
13.4,1.0,56.947553218120596,0.054357,0.001331,0.003809,0.886133,8.5e-05,0.004711,0.004923
13.4,1.5,58.882695180230634,0.088854,0.001288,0.027518,0.750582,0.000121,0.006617,0.010073
13.4,2.0,60.82879013759553,0.121769,0.001225,0.039876,0.66616,0.000179,0.008527,0.020341
13.4,2.5,62.72038648446924,0.155578,0.001201,0.031884,0.587946,0.000162,0.009561,0.047528
16.7,0.1,48.25381295635916,0.004059457931090197,0.0007674597083653108,0.0016964898816496344,0.6312760027466979,0.0,0.0002423556973785192,0.0001615704649190128
16.7,0.5,49.781090635581535,0.01868599479186375,0.0006914368470479775,0.0018128717333048962,0.9246437036247115,4.8159780391401414e-05,0.0018145917254617319,0.0013880336705664623
16.7,1.0,51.665151157492105,0.035251,0.000665,0.002307,0.912378,0.000105,0.003234,0.003758
16.7,1.5,53.56974309537832,0.057258,0.00067,0.008007,0.811884,0.000163,0.004656,0.008056
16.7,2.0,55.44692220020398,0.086339,0.000664,0.029859,0.717546,0.000224,0.005736,0.017221
16.7,2.5,57.31613168113772,0.117247,0.000636,0.027458,0.629457,0.000236,0.006597,0.043256
20.0,0.1,45.12653481710354,0.002483046784026303,0.0003767381327488184,0.001284334543461881,0.6315329817110761,0.0,0.00023974244811288446,3.424892115898349e-05
20.0,0.5,46.67096682382096,0.01264390537502434,0.00047648832529843213,0.0011609792941481923,0.9336486319031799,0.00012539166455221898,0.001208185567861969,0.0010252612572210847
20.0,1.0,48.5241170033212,0.025675,0.000386,0.001581,0.925289,0.000231,0.002415,0.003252
